id,symbol,signal_type,would_have_opened,actual_blocked_by,linked_auto_short_id,linked_canceled_signal_id,entry_price,signal_price,entry_ts,leverage,tp_pct,sl_pct,tp_price,sl_price,score,entry_score,triggered_count,status,close_reason,exit_price,exit_ts,pnl_pct,ml_label,f_rsi_5m,f_large_sell_cluster,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_cvd_divergence,f_liquidation_cascade,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,realized_vol_1h,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,adverse_move_pct
1,BSBUSDT,overheated,False,score_dropped,,1387,0.6832,0.6832,2026-05-02T18:13:43.509484+00:00,10,10.0,10.0,0.676368,0.6900320000000001,58.05011535981791,58.05011535981791,9,closed,sl_hit,0.695,2026-05-02T18:17:12.289509+00:00,-10.0,0,66.50513411021367,5.0,72.74675020739267,2.4637802865174416,3.380687963396385,0.13699491793738802,15.0,1.3652725141927233,1.0,-42.38009194904643,0.014668133480013053,0.0,0.22857142857142312,5e-05,-1.0,0.7542713567839197,0.0,0.0,3.829787234042553,0.014668133480013053,-42.38009194904643,0.5922099057648351,0.03267152230151198,5e-05,0.0,0.3,,,,,,,,,,,,,,,,,,,,,
2,DYDXUSDT,early_warning,False,pending_duplicate,,1388,0.15482,0.15482,2026-05-02T18:17:47.521458+00:00,10,10.0,10.0,0.1532718,0.1563682,46.55126376642049,46.55126376642049,7,closed,sl_hit,0.15667,2026-05-02T18:57:43.599377+00:00,-10.0,0,64.84252471703536,29.0,68.64053030102683,1.0394560075602632,0.0,0.0,9.0,-0.08639631733174288,10.0,17.57415761002015,0.006465168902544044,0.0,0.12499999999993495,9.983e-05,1.0,0.7563758389261745,0.0,0.7680291590731674,0.7871454592766176,0.006465168902544044,17.57415761002015,0.23454850011991665,0.09644839946755374,9.983e-05,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
3,DYDXUSDT,early_warning,False,duplicate,,,0.15482,0.15482,2026-05-02T18:17:47.533359+00:00,10,10.0,10.0,0.1532718,0.1563682,46.55126376642049,46.55126376642049,7,closed,sl_hit,0.15667,2026-05-02T18:57:43.589580+00:00,-10.0,0,64.84252471703536,29.0,68.64053030102683,1.0394560075602632,0.0,0.0,9.0,-0.08639631733174288,10.0,17.57415761002015,0.006465168902544044,0.0,0.12499999999993495,9.983e-05,1.0,0.7563758389261745,0.0,0.7680291590731674,0.7871454592766176,0.006465168902544044,17.57415761002015,0.23454850011991665,0.09644839946755374,9.983e-05,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
4,DYDXUSDT,overheated,True,,908,,0.15461,0.15461,2026-05-02T18:18:06.565754+00:00,10,10.0,10.0,0.1530639,0.1561561,47.70503680561791,47.70503680561791,8,closed,sl_hit,0.15633,2026-05-02T18:57:13.562853+00:00,-10.0,0,62.80992757214357,29.0,64.42720835419291,0.9296185564314693,1.5395349820706445,0.0,9.0,-0.1309723268311182,8.0,-53.40084393080993,0.0064584880679497535,0.0,0.7692307692309499,9.983e-05,-0.0,0.7537931034482759,0.0,0.0,0.20106369178880332,0.0064584880679497535,-53.40084393080993,0.23400035495827298,0.09644839946755374,9.983e-05,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,1000LUNCUSDT,overheated,False,score_dropped,,1389,0.07979,0.07979,2026-05-02T18:18:18.547092+00:00,10,10.0,10.0,0.0789921,0.0805879,49.61231901575445,49.61231901575445,6,closed,sl_hit,0.08073,2026-05-02T18:34:12.511677+00:00,-10.0,0,68.44164951412999,16.0,69.53205271500457,0.6869801929070514,6.954857962432722,0.0,8.0,0.8826670715718086,1.0,-57.47572774552591,0.025144581342710897,0.0,0.424242424242423,0.0001,-0.0,0.41912532586339446,0.0,-0.17572486506840873,1.6094284628057374,0.025144581342710897,-57.47572774552591,0.2131962954428864,0.09644839946755374,0.0001,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,
6,IPUSDT,overheated,False,score_dropped,,1390,0.5029,0.5029,2026-05-02T18:18:29.621314+00:00,10,10.0,10.0,0.497871,0.507929,45.209395777687426,45.209395777687426,6,closed,sl_hit,0.5084,2026-05-02T18:41:12.630812+00:00,-10.0,0,59.030279391157265,18.0,61.7053080536206,0.1809277520054756,2.0797362615011123,0.0,5.0,0.26263078528005335,3.0,-3.1669658358607786,0.019898517560461647,0.0,0.1333333333333136,5e-05,1.0,0.7454545454545455,0.0,0.1594896331738261,0.17892644135189104,0.019898517560461647,-3.1669658358607786,0.09777071644834497,0.09644839946755374,5e-05,-0.05431653685715616,-0.3,,,,,,,,,,,,,,,,,,,,,
7,1000LUNCUSDT,early_warning,False,score_dropped,,1391,0.0801,0.0801,2026-05-02T18:21:49.353826+00:00,10,10.0,10.0,0.07929900000000001,0.080901,47.457868291768165,47.457868291768165,7,closed,sl_hit,0.08118,2026-05-02T18:34:42.522251+00:00,-10.0,0,67.22375616586919,4.0,68.0788621154939,0.3229747301630988,0.0,0.6965638286472877,55.0,-0.12052148587317654,0.0,-61.07373064377503,0.012491412154156518,0.0,0.0,0.0001,-0.0,0.7387096774193549,0.0,0.5399974883837747,1.2392513909964702,0.012491412154156518,-61.07373064377503,0.19378663431501805,0.09644839946755374,0.0001,-0.00964891635126712,-1.0,,,,,,,,,,,,,,,,,,,,,
8,OPUSDT,overheated,False,already_open,,1392,0.12373,0.12373,2026-05-02T18:23:15.786224+00:00,10,10.0,10.0,0.12249270000000001,0.1249673,45.9226541852921,45.9226541852921,7,closed,sl_hit,0.125,2026-05-02T18:49:13.331913+00:00,-10.0,0,53.75942793723556,14.0,65.77653127780214,0.36418452551750236,3.4412654150769924,0.5309778874256964,24.0,0.0011473388142641955,6.0,-2.951134403452561,0.024225784309768843,0.0,0.6666666666666975,0.0001,-0.0,0.7304055573306557,0.0,0.38945233265720747,-0.35418175963937537,0.024225784309768843,-2.951134403452561,0.0980975630971382,0.09644839946755374,0.0001,-0.00833601046871195,-1.0,,,,,,,,,,,,,,,,,,,,,
9,OPUSDT,overheated,False,duplicate,,,0.12373,0.12373,2026-05-02T18:23:15.795889+00:00,10,10.0,10.0,0.12249270000000001,0.1249673,45.9226541852921,45.9226541852921,7,closed,sl_hit,0.125,2026-05-02T18:49:13.370255+00:00,-10.0,0,53.75942793723556,14.0,65.77653127780214,0.36418452551750236,3.4412654150769924,0.5309778874256964,24.0,0.0011473388142641955,6.0,-2.951134403452561,0.024225784309768843,0.0,0.6666666666666975,0.0001,-0.0,0.7304055573306557,0.0,0.38945233265720747,-0.35418175963937537,0.024225784309768843,-2.951134403452561,0.0980975630971382,0.09644839946755374,0.0001,-0.00833601046871195,-1.0,,,,,,,,,,,,,,,,,,,,,
10,TACUSDT,early_warning,True,,909,,0.021049,0.021049,2026-05-02T18:25:21.643538+00:00,10,10.0,10.0,0.020838509999999998,0.02125949,45.854566506586465,45.854566506586465,6,closed,tp_hit,0.020832,2026-05-02T18:29:42.419763+00:00,10.0,1,51.10270932989634,20.0,57.44202940780714,0.6789269438756396,0.0,0.0,11.0,0.13500800299588017,4.0,-59.28497081059202,0.04751270964982939,0.0,0.8979591836735098,0.00124327,1.0,0.7503225806451612,12079034.1621,1.3921001926782157,-2.7916205241786702,0.04751270964982939,-59.28497081059202,0.5359400161102457,0.09644839946755374,0.00124327,0.0696456692045616,-1.0,,,,,,,,,,,,,,,,,,,,,
