id,symbol,signal_type,close_reason,signal_price,entry_price,price_change_at_entry,entry_ts,entry_delay_sec,leverage,tp_pct,sl_pct,tp_price,sl_price,score,entry_score,min_score_at_entry,entry_mode,triggered_count,status,exit_price,exit_ts,pnl_pct,ml_label,price_15m,price_30m,price_60m,price_15m_ts,price_30m_ts,price_60m_ts,f_rsi_5m,f_large_sell_cluster,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20
481,PENDLEUSDT,overheated,sl_hit,1.3087,1.3105,0.13754107129212378,2026-04-30T13:45:49.949509+00:00,30,10,10.0,10.0,1.297395,1.323605,46.442164883728346,46.9,45.0,direct,6,closed,1.3253,2026-04-30T14:21:35.980463+00:00,-11.29339946585267,0,1.3096,1.3079,,2026-04-30T14:00:50.507548+00:00,2026-04-30T14:15:50.840234+00:00,,62.21181555115156,15.0,75.4894717379974,1.0396840760517012,2.438903274714301,0.23785515914952504,43.0,-0.25758544478549583,7.0,0.0,0.0,0.0,1.800000000000222,0.0,4854415.6951,1.47321082422268,0.18369690011480733,0.0,0.0,-0.5850090930335559,-0.00016891,0.04916379463383877,0.3,-0.0,0.7571428571428571,0.2187948228472203,"{""asks"":[[1.3102,155.0],[1.3103,27.0],[1.3104,152.0],[1.3105,30.0],[1.3106,162.0],[1.3107,119.0],[1.3108,81.0],[1.3109,252.0],[1.311,62.0],[1.3111,119.0]],""bids"":[[1.3087,213.0],[1.3086,58.0],[1.3085,71.0],[1.3084,60.0],[1.3083,106.0],[1.3082,159.0],[1.3081,44.0],[1.308,82.0],[1.3079,192.0],[1.3078,82.0]]}",1395.91,1519.07,-0.04225,11.46,1.3073,593.51,1.3119,331.91,,,,,,,,,,,
482,VIRTUALUSDT,overheated,tp_hit,0.6957,0.696,0.043122035360064245,2026-04-30T13:46:21.237255+00:00,30,10,10.0,10.0,0.68904,0.7029599999999999,52.65665195227523,46.9,45.0,direct,7,closed,0.689,2026-04-30T14:16:52.452788+00:00,10.057471264367825,1,0.6942,0.69,,2026-04-30T14:01:22.063047+00:00,2026-04-30T14:16:22.441617+00:00,,57.523297598382705,29.0,69.68385805347978,0.7054864052987174,4.3488799774601645,0.0,15.0,0.11466486442165377,3.0,0.0,0.0,0.0,0.13333333333339747,5e-05,0.0,0.23051433511020528,-0.12895830348187592,0.0,0.0,-0.5850090930335559,5e-05,0.7616197193508745,-0.3,1.0,0.7547231270358306,0.0891146592124386,"{""asks"":[[0.6961,270.0],[0.6962,6514.0],[0.6963,5121.0],[0.6964,5525.0],[0.6965,9729.0],[0.6966,16764.0],[0.6967,10622.0],[0.6968,14389.0],[0.6969,6628.0],[0.697,7738.0]],""bids"":[[0.696,245.0],[0.6959,8015.0],[0.6958,6135.0],[0.6957,4511.0],[0.6956,6775.0],[0.6955,7514.0],[0.6954,18003.0],[0.6953,4713.0],[0.6952,13348.0],[0.6951,16037.0]]}",59316.95,58029.45,0.010972,1.44,0.6954,12519.29,0.6973,22397.97,,,,,,,,,,,
483,TRIAUSDT,overheated,tp_hit,0.035907,0.035872,-0.09747403013340103,2026-04-30T13:46:22.613713+00:00,30,10,10.0,10.0,0.03551328,0.03623072,46.78959670366744,48.9,45.0,direct,7,closed,0.035508,2026-04-30T14:40:29.044954+00:00,10.147190008920697,1,0.035897,0.035663,,2026-04-30T14:01:23.087940+00:00,2026-04-30T14:16:23.446755+00:00,,60.091465806364255,3.0,69.5981368474395,0.443372066612185,6.074968430891781,0.8649366796664332,28.0,1.2059358044412325,2.0,0.0,0.0,0.0,0.23640661938532942,5e-05,0.0,1.3091442597974188,0.7267931305421548,0.0,0.0,-0.5850090930335559,5e-05,0.0032146365801075678,1.0,-0.0,0.5495787366319067,0.23489215972469354,"{""asks"":[[0.035845,1430.0],[0.03586,1410.0],[0.035864,290.0],[0.035867,290.0],[0.03587,290.0],[0.035873,400.0],[0.035874,290.0],[0.035876,410.0],[0.035877,1700.0],[0.035878,410.0]],""bids"":[[0.035844,160.0],[0.035842,10.0],[0.035834,10.0],[0.035832,160.0],[0.035826,290.0],[0.035823,300.0],[0.03582,450.0],[0.035819,2150.0],[0.035818,9870.0],[0.035817,2430.0]]}",567.01,248.19,0.391098,0.28,0.035818,353.52,0.035881,99.75,,,,,,,,,,,
484,MONUSDT,early_warning,tp_hit,0.027656,0.02768,0.0867804454729524,2026-04-30T13:51:27.846702+00:00,30,10,10.0,10.0,0.0274032,0.0279568,45.63959826945546,45.6,45.0,direct,7,closed,0.027393,2026-04-30T14:40:09.655969+00:00,10.368497109826556,1,0.027685,0.0276,,2026-04-30T14:06:28.687217+00:00,2026-04-30T14:21:29.136095+00:00,,65.02666150135376,29.0,64.37931502400632,0.4581475503445582,0.0,0.0,21.0,0.12162657565396849,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34833091436864605,0.546448087431697,0.0,0.0,0.20842682883748456,-0.00071037,0.7488143008080357,1.0,1.0,0.7645261946296253,0.19659118930987832,"{""asks"":[[0.027663,166.0],[0.027667,272.0],[0.02767,783.0],[0.027672,838.0],[0.027673,272.0],[0.027674,3796.0],[0.027675,3524.0],[0.027676,4065.0],[0.027677,3437.0],[0.027678,3793.0]],""bids"":[[0.027662,5572.0],[0.027661,272.0],[0.027658,5200.0],[0.027657,3437.0],[0.027656,2106.0],[0.027655,2147.0],[0.027654,3561.0],[0.027653,2106.0],[0.027652,12240.0],[0.027651,4239.0]]}",1130.54,579.69,0.322093,0.36,0.027643,1847.05,0.027688,829.75,,,,,,,,,,,
485,UBUSDT,overheated,sl_hit,0.07545,0.07531,-0.18555334658714545,2026-04-30T13:58:29.780007+00:00,30,10,10.0,10.0,0.0745569,0.07606310000000001,48.66481096730888,48.8,45.0,direct,7,closed,0.07632,2026-04-30T14:00:20.321639+00:00,-13.411233567919227,0,,,,,,,71.01261170433705,46.0,72.65256824299706,3.775151179854476,1.7302428863293038,0.0,54.0,3.131209676073233,4.0,0.0,0.0,0.0,0.14718614718615067,0.0,39973956.2994,0.0,31.006549465701465,0.0,0.0,0.18719120319076082,-0.00034266,2.7235475901802237,-1.0,-0.0,0.3687323943661972,1.43026359752848,"{""asks"":[[0.07512,4600.0],[0.07515,2330.0],[0.07516,820.0],[0.07517,800.0],[0.07518,590.0],[0.07519,4590.0],[0.0752,610.0],[0.07521,510.0],[0.07522,1250.0],[0.07523,510.0]],""bids"":[[0.07506,570.0],[0.07504,100.0],[0.07503,850.0],[0.07502,590.0],[0.07501,880.0],[0.075,750.0],[0.07499,510.0],[0.07498,1040.0],[0.07497,2000.0],[0.07496,5130.0]]}",931.29,1248.52,-0.145529,7.99,0.07489,463.57,0.07526,571.22,,,,,,,,,,,
486,BLUAIUSDT,early_warning,sl_hit,0.013527,0.013538,0.08131884379388525,2026-04-30T14:13:05.095489+00:00,30,10,10.0,10.0,0.013402619999999999,0.01367338,45.447173753366464,45.0,45.0,direct,5,closed,0.013677,2026-04-30T14:15:25.639073+00:00,-10.26739547939136,0,,,,,,,75.93879762931265,36.0,82.47804343642557,1.6459126310904755,1.0196475183553506,0.0,32.0,0.3499602079986143,4.0,0.0,0.0,0.0,0.3870967741935394,5e-05,0.0,2.0982715676654875,5.66302652106085,0.0,0.0,0.06092104763239847,5e-05,-0.23897849429797835,-1.0,1.0,0.38031496062992126,0.3623051740278373,"{""asks"":[[0.013528,10.0],[0.01353,8940.0],[0.013533,1400.0],[0.013536,370.0],[0.013537,410.0],[0.01354,7390.0],[0.013541,26610.0],[0.013542,23260.0],[0.013543,3000.0],[0.013544,10.0]],""bids"":[[0.013505,23260.0],[0.013504,46670.0],[0.013503,1760.0],[0.013502,3000.0],[0.0135,970.0],[0.013499,28380.0],[0.013496,440.0],[0.013494,350.0],[0.013492,3010.0],[0.013491,23260.0]]}",1769.9,966.74,0.293485,17.02,0.013504,630.23,0.013551,613.72,,,,,,,,,,,
487,NAORISUSDT,early_warning,sl_hit,0.121313,0.121385,0.059350605458609235,2026-04-30T14:13:05.780914+00:00,30,10,10.0,10.0,0.12017115,0.12259885000000001,45.32513020398062,45.3,45.0,direct,6,closed,0.122836,2026-04-30T14:19:11.369062+00:00,-11.953701033900348,0,,,,,,,66.5267712407198,31.0,65.87350108788254,1.4359287174785653,0.0,0.0,36.0,0.4369956798691896,2.0,0.0,0.0,0.0,0.0,0.00048848,0.0,0.8537984470345678,5.152052601981228,0.0,0.0,0.06092104763239847,0.00048848,-0.3298009287445773,-0.3,1.0,0.7503684372176587,0.3596713644645365,"{""asks"":[[0.121437,110.0],[0.121453,60.0],[0.121456,820.0],[0.121457,140.0],[0.12146,50.0],[0.121463,200.0],[0.121466,120.0],[0.121475,820.0],[0.121476,290.0],[0.121477,240.0]],""bids"":[[0.121383,1430.0],[0.12137,460.0],[0.121353,560.0],[0.12135,50.0],[0.12134,820.0],[0.121339,560.0],[0.121336,1090.0],[0.121333,230.0],[0.12133,440.0],[0.121329,430.0]]}",736.6,346.18,0.360577,4.45,0.121383,173.58,0.121515,256.4,,,,,,,,,,,
488,GENIUSUSDT,overheated,sl_hit,0.4417,0.4412,-0.11319900384876623,2026-04-30T14:16:59.045902+00:00,30,10,10.0,10.0,0.43678799999999995,0.445612,49.67162527850473,48.1,45.0,direct,8,closed,0.4463,2026-04-30T14:20:44.310770+00:00,-11.559383499546676,0,,,,,,,65.90020439632416,30.0,73.8603320013955,3.730053661479061,3.724821588258017,0.4068335041062953,70.0,-1.3023262581184716,0.0,0.0,0.0,0.0,2.142857142857041,5e-05,0.0,0.0,4.131255901794149,0.0,0.0,0.05597951700297419,5e-05,-1.675812686787911,1.0,-1.0,0.42419255623508545,0.5169179404269562,"{""asks"":[[0.4398,243.0],[0.44,229.0],[0.4401,483.0],[0.4402,1433.0],[0.4403,4170.0],[0.4404,2094.0],[0.4405,456.0],[0.4406,4241.0],[0.4407,456.0],[0.4408,802.0]],""bids"":[[0.4397,104.0],[0.4396,156.0],[0.4395,704.0],[0.4394,902.0],[0.4393,929.0],[0.4392,630.0],[0.4391,763.0],[0.439,4762.0],[0.4389,2853.0],[0.4388,3352.0]]}",6653.45,6433.19,0.016831,2.27,0.438,3085.71,0.4409,2092.51,,,,,,,,,,,
489,TONUSDT,early_warning,expired,1.3218,1.3212,-0.04539264639129641,2026-04-30T14:34:14.444665+00:00,30,10,10.0,10.0,1.307988,1.334412,47.079661880209834,48.8,45.0,direct,7,closed,1.3173,2026-04-30T18:34:16.461334+00:00,2.9518619436875677,1,1.3204,1.3162,1.3187,2026-04-30T14:49:15.524954+00:00,2026-04-30T15:04:16.277383+00:00,2026-04-30T15:34:16.980227+00:00,69.66885502511862,14.0,70.21755726853365,0.24228482540901977,0.2943750538463777,0.0,20.0,-0.07902114141836714,6.0,0.0,0.0,0.0,1.9999999999985196,5e-05,0.0,0.29592533576143976,0.9702062643239233,0.0,0.0,-0.14537261054403616,5e-05,0.006457063452696767,-0.3,1.0,0.5109384877002086,0.08417721749882796,"{""asks"":[[1.3214,34.8],[1.3215,7.8],[1.3216,1146.1],[1.3217,2685.8],[1.3218,1545.6],[1.3219,1749.4],[1.322,1787.4],[1.3221,2218.1],[1.3222,2571.8],[1.3223,3807.4]],""bids"":[[1.3213,277.8],[1.3212,852.9],[1.3211,2780.7],[1.321,1858.6],[1.3209,2710.1],[1.3208,5191.0],[1.3207,3035.7],[1.3206,2545.4],[1.3205,2845.0],[1.3204,3198.1]]}",33409.04,23206.76,0.180202,0.76,1.3196,12268.32,1.323,15727.29,,,,,,,,,,,
490,MORPHOUSDT,overheated,tp_hit,2.007,2.009,0.09965122072744294,2026-04-30T14:54:21.465997+00:00,30,10,10.0,10.0,1.98891,2.02909,45.07609827191958,45.1,45.0,direct,6,closed,1.9889,2026-04-30T15:44:03.200576+00:00,10.004977600796419,1,1.9946,1.9898,,2026-04-30T15:09:22.310176+00:00,2026-04-30T15:24:22.673267+00:00,,52.98391577831049,4.0,66.1374435155432,0.5574162340324059,5.422912498799395,0.0,9.0,-0.029157750452986776,3.0,0.0,0.0,0.0,0.7999999999996448,5e-05,0.0,0.44039635672105604,-0.014946938368778084,0.0,0.0,-0.03210092005167593,5e-05,0.016921471065235123,-0.3,1.0,0.7292682926829268,0.17651824482791192,"{""asks"":[[2.0104,57.0],[2.0105,19.0],[2.0107,106.0],[2.0109,12.0],[2.011,12.0],[2.0111,48.0],[2.0112,24.0],[2.0113,24.0],[2.0114,154.0],[2.0115,42.0]],""bids"":[[2.01,108.0],[2.0099,18.0],[2.0094,24.0],[2.0093,24.0],[2.0092,24.0],[2.0091,29.0],[2.009,163.0],[2.0089,24.0],[2.0088,192.0],[2.0087,563.0]]}",2348.46,1001.5,0.402082,1.99,2.0087,1130.9,2.0125,1078.7,,,,,,,,,,,
