id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,price_15m,price_30m,price_60m,price_15m_ts,price_30m_ts,price_60m_ts,price_min_60m,price_max_60m,synthetic_pnl_pct,would_hit_tp,would_hit_sl,synthetic_close_reason,time_to_tp_sec,time_to_sl_sec,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,adverse_move_pct
1,ORCAUSDT,early_warning,score_dropped,2026-04-30T21:24:39.615702+00:00,2026-04-30T21:24:39.615705+00:00,1.6635,1.6612,-0.138262699128342,45.15585505950236,37.2,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,67.90134317710789,0.5998138785788629,0.0,0.0,23.0,-0.042434628903778665,0.0,-17.62517616563517,0.006012686769082103,0.0,5.4000000000004444,1.25e-05,70.89555200914143,59.0,1.0,0.7557142857142858,0.3591427080802606,0.0,0.01803751803751605,3.5796407929898764,0.006012686769082103,-17.62517616563517,0.16258969618915334,1.25e-05,0.018023123434617008,0.3,"{""asks"":[[1.6572,24.0],[1.6575,83.7],[1.6576,3.4],[1.6579,4.6],[1.6583,68.9],[1.6584,303.3],[1.6587,64.4],[1.6588,3.4],[1.659,63.7],[1.6591,84.6]],""bids"":[[1.6568,92.7],[1.6567,77.8],[1.6564,30.0],[1.6562,209.6],[1.656,54.9],[1.6559,45.5],[1.6558,361.2],[1.6557,120.8],[1.6556,521.3],[1.6554,4.7]]}",2514.49,1167.52,0.365827,2.41,1.655,909.59,1.6593,862.5,1.6844,1.6835,1.7713,2026-04-30T21:39:39.861375+00:00,2026-04-30T21:54:39.888518+00:00,2026-04-30T22:24:39.856090+00:00,1.6472,1.7713,-1.0,False,True,sl_hit,,299,,,,,,,,,,,,
2,ENSOUSDT,early_warning,score_dropped,2026-04-30T21:25:54.337176+00:00,2026-04-30T21:25:54.337179+00:00,1.0242,1.0231,-0.10740089826206803,45.9122060846637,29.0,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,73.36628289900116,0.27238436562736945,0.6487952879169908,0.0,11.0,-0.12700958826320685,0.0,-51.909868007437275,0.01953315753491337,0.0,0.8571428571428571,3.426e-05,63.17633908004205,25.0,-0.0,0.739622641509434,0.13505343202889836,0.0,-0.019523623584535143,2.3253493013972153,0.01953315753491337,-51.909868007437275,0.12612157176553557,3.426e-05,0.9669012994041933,-0.3,"{""asks"":[[1.0234,11.9],[1.0236,39.3],[1.0237,177.1],[1.0238,5.4],[1.0239,133.3],[1.024,124.9],[1.0241,193.1],[1.0242,146.7],[1.0243,133.3],[1.0244,164.5]],""bids"":[[1.023,158.0],[1.0229,152.1],[1.0228,198.5],[1.0227,138.9],[1.0226,5.4],[1.0225,159.1],[1.0224,5.4],[1.0223,54.3],[1.0222,10.3],[1.0221,278.6]]}",1186.82,1156.67,0.012863,3.91,1.0209,800.08,1.0256,934.42,1.017,1.0171,1.0205,2026-04-30T21:41:24.332100+00:00,2026-04-30T21:56:24.323419+00:00,2026-04-30T22:26:24.323672+00:00,1.0097,1.0307,1.0,True,False,tp_hit,1920,,,,,,,,,,,,,
3,ORCAUSDT,overheated,score_dropped,2026-04-30T21:32:44.485016+00:00,2026-04-30T21:32:44.485019+00:00,1.6972,1.6879,-0.5479613481027625,48.395230284834525,44.6,45.0,after_monitor,6,30,24,5,0.2,0.8,-0.3,73.82749565966844,1.712320655769581,1.6336948669073346,0.0,50.0,-0.4440805872893967,4.0,-31.317060319660705,0.02945594862882235,0.0,0.2222222222221674,1.25e-05,75.82749147503381,50.0,-0.0,0.5679096966557118,0.4045945732397687,50025065.2072,0.0,5.323358476567335,0.02945594862882235,-31.317060319660705,-0.03563759189454036,1.25e-05,-0.19056087199143087,0.3,"{""asks"":[[1.6876,121.0],[1.6878,341.2],[1.6879,171.0],[1.688,46.5],[1.6881,31.8],[1.6882,146.3],[1.6883,151.1],[1.6884,3.3],[1.6886,0.1],[1.6887,19.9]],""bids"":[[1.6869,79.5],[1.6867,59.3],[1.6866,170.0],[1.6865,303.3],[1.6864,153.8],[1.6863,128.5],[1.6862,442.7],[1.6861,290.9],[1.686,422.1],[1.6859,645.7]]}",4545.64,1742.31,0.445825,4.15,1.6853,1598.0,1.6878,575.88,1.7003,1.688,1.752,2026-04-30T21:48:14.478542+00:00,2026-04-30T22:03:14.474028+00:00,2026-04-30T22:33:14.476146+00:00,1.6669,1.7732,1.0,True,True,tp_hit,89,2369,,,,,,,,,,,,
4,MOVRUSDT,overheated,score_dropped,2026-04-30T21:34:31.170878+00:00,2026-04-30T21:34:31.170881+00:00,2.4571,2.4455,-0.4721012575800763,61.55038216468086,56.0,45.0,after_monitor,9,30,24,5,0.2,0.8,-0.3,83.17171112090647,0.6005406848720367,20.038894720479153,0.0,36.0,1.3606380801685691,5.0,62.24847598077963,0.11795090801864222,0.0,0.13150684931506706,0.0,76.54343038179763,28.0,0.7317142426003957,0.7616600790513834,0.24553858228986794,3449508.9912,2.106881648936169,2.7004465962686153,0.11795090801864222,62.24847598077963,-0.08590626526441165,-0.0005211,-0.012525562852214026,-1.0,"{""asks"":[[2.4476,18.0],[2.4477,50.3],[2.4478,12.3],[2.4479,50.3],[2.4481,134.5],[2.4482,5.6],[2.4486,6.2],[2.4487,9.5],[2.4493,2.3],[2.45,2.3]],""bids"":[[2.4451,39.8],[2.4444,2.3],[2.4437,2.3],[2.4433,8.3],[2.4432,8.0],[2.443,52.6],[2.4428,50.3],[2.4424,50.3],[2.4423,84.1],[2.442,28.7]]}",798.09,713.11,0.056239,10.22,2.4423,205.4,2.4481,329.27,2.4426,2.4411,2.4489,2026-04-30T21:50:01.171737+00:00,2026-04-30T22:05:01.170360+00:00,2026-04-30T22:35:01.165495+00:00,2.4283,2.4577,1.0,True,False,tp_hit,479,,,,,,,,,,,,,
5,XPLUSDT,overheated,score_dropped,2026-04-30T21:35:24.746615+00:00,2026-04-30T21:35:24.746617+00:00,0.09065,0.09064,-0.011031439602863898,45.60113862855378,37.5,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,72.67466817028891,0.290536587127475,3.7421147066471674,0.973198913921174,47.0,-0.0731245092224944,3.0,0.1623351650754709,0.011032048099725437,0.0,0.0,0.0,62.245622383630604,0.0,-0.0,0.6322661367483902,0.0745591285026348,0.0,0.5100343718815702,0.32125844688157595,0.011032048099725437,0.1623351650754709,-0.10526715468381063,-4.037e-05,0.2806823610177982,0.3,"{""asks"":[[0.09065,8343.0],[0.09066,844.0],[0.09067,4231.0],[0.09068,14211.0],[0.09069,5108.0],[0.0907,23679.0],[0.09071,24560.0],[0.09072,57194.0],[0.09073,148836.0],[0.09074,61060.0]],""bids"":[[0.09064,3816.0],[0.09063,83.0],[0.09062,5983.0],[0.09061,10456.0],[0.0906,7599.0],[0.09059,2851.0],[0.09058,6276.0],[0.09057,36579.0],[0.09056,65082.0],[0.09055,6285.0]]}",13134.12,31576.97,-0.412489,1.1,0.09051,7533.33,0.09073,13503.89,0.09082,0.09043,0.09023,2026-04-30T21:50:24.797283+00:00,2026-04-30T22:05:24.789279+00:00,2026-04-30T22:35:54.757049+00:00,0.09023,0.09116,0.4633204633204521,False,False,expired_60m,,,,,,,,,,,,,,
6,MOVRUSDT,early_warning,score_dropped,2026-04-30T21:36:39.245464+00:00,2026-04-30T21:36:39.245466+00:00,2.449,2.4437,-0.2164148632094585,46.0,41.1,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,71.32099043572168,0.018098793451846493,0.5156861933950974,0.0,47.0,-0.3147689714130962,1.0,8.709045460282756,0.049011599411855414,0.0,15.999999999964473,0.0,73.40637414440309,36.0,1.0,0.7923076923076924,0.25026497893571836,0.0,1.3742859508237395,2.3076923076923137,0.049011599411855414,8.709045460282756,-0.13416370852050807,-0.0005211,-0.02674458154590504,-1.0,"{""asks"":[[2.4446,106.6],[2.4447,20.0],[2.4448,56.5],[2.445,134.7],[2.4452,5.9],[2.4453,4.1],[2.4458,2.3],[2.4465,2.3],[2.4472,2.3],[2.4477,62.2]],""bids"":[[2.4435,4.2],[2.443,2.3],[2.4423,2.3],[2.4416,2.3],[2.4409,2.3],[2.4407,41.0],[2.4406,12.5],[2.4405,12.5],[2.4402,2.3],[2.4401,49.3]]}",319.72,970.54,-0.50441,4.5,2.4381,859.67,2.4478,427.14,2.4385,2.4474,2.4444,2026-04-30T21:52:09.245525+00:00,2026-04-30T22:07:09.243463+00:00,2026-04-30T22:37:09.216520+00:00,2.4283,2.4587,0.1878317680685969,False,False,expired_60m,,,,,,,,,,,,,,
7,AXLUSDT,overheated,score_dropped,2026-04-30T21:40:31.581162+00:00,2026-04-30T21:40:31.581164+00:00,0.05993,0.05999,0.10011680293676706,45.28891395254561,40.5,45.0,after_monitor,6,30,24,5,0.2,0.8,-0.3,76.55598787755444,0.49674767667887787,3.0200933307500684,0.0,0.0,-0.043500547130388215,2.0,-41.3560913247207,0.08338197281747925,0.0,1.000000000000694,0.0,59.09986308645866,4.0,1.0,0.6629787039127614,0.06940034656073141,0.0,0.18388498829822633,-0.016675004168756148,0.08338197281747925,-41.3560913247207,-0.12867334249624046,-0.00035267,0.00609634851303138,-1.0,"{""asks"":[[0.06,200.0],[0.06001,5.0],[0.06002,2419.0],[0.06003,2057.0],[0.06004,1973.0],[0.06005,3084.0],[0.06006,1849.0],[0.06007,2197.0],[0.06008,2713.0],[0.06009,2193.0]],""bids"":[[0.05998,54341.0],[0.05997,4385.0],[0.05996,2985.0],[0.05995,10305.0],[0.05994,2605.0],[0.05993,2134.0],[0.05992,3802.0],[0.05991,3704.0],[0.0599,7138.0],[0.05989,3812.0]]}",5708.73,1122.42,0.671381,3.33,0.05998,3259.37,0.06015,1512.23,0.06061,0.0604,0.06038,2026-04-30T21:55:31.757638+00:00,2026-04-30T22:10:31.757603+00:00,2026-04-30T22:40:31.730164+00:00,0.05993,0.06083,-1.0,False,True,sl_hit,,360,,,,,,,,,,,,
8,SIRENUSDT,overheated,score_dropped,2026-04-30T21:45:28.607737+00:00,2026-04-30T21:45:28.607740+00:00,0.66892,0.66832,-0.0896968247323946,45.69647150116812,33.1,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,62.56194908161097,0.10321459498288807,3.4238835320051786,0.8021881582108858,18.0,-0.002173607940310935,4.0,0.0,0.0014957632506024951,0.0,0.0,0.0,65.58797244552751,1.0,-0.0,0.7666666666666666,0.09349014059009678,0.0,0.43089858118758767,1.0699563530552962,0.0014957632506024951,0.0,-0.07517605472398828,-4.332e-05,0.020742604414563163,1.0,"{""asks"":[[0.66831,1409.0],[0.66855,685.0],[0.66856,1122.0],[0.6687,9.0],[0.66871,158.0],[0.66872,71.0],[0.66873,18.0],[0.66885,9.0],[0.66889,18.0],[0.66899,6.0]],""bids"":[[0.6683,64.0],[0.66825,9.0],[0.6681,9.0],[0.668,3.0],[0.66798,9.0],[0.66796,1.0],[0.66795,9.0],[0.66792,5.0],[0.6678,9.0],[0.66765,9.0]]}",84.85,2342.99,-0.930101,0.15,0.66706,125.41,0.66924,999.84,0.6663,0.66915,0.6703,2026-04-30T22:00:28.849744+00:00,2026-04-30T22:15:28.830142+00:00,2026-04-30T22:45:28.830735+00:00,0.6651,0.67363,-0.20630269688453745,False,False,expired_60m,,,,,,,,,,,,,,
9,LABUSDT,overheated,score_dropped,2026-04-30T21:46:32.034609+00:00,2026-04-30T21:46:32.034611+00:00,0.7308,0.73372,0.39956212370005934,50.22519289261127,43.6,45.0,after_monitor,8,30,24,5,0.2,0.8,-0.3,71.78785310984335,1.5654064048547875,0.16479887452825398,0.14444953668176935,66.0,-0.17782290040002358,1.0,-40.51600162666217,0.10257462303826421,0.7,0.0663507109004894,5e-05,83.78682387419785,23.0,-0.0,0.790909090909091,0.4448436790715795,0.0,2.4261026783837263,7.162231507953955,0.10257462303826421,-40.51600162666217,0.004453887851096284,5e-05,0.13418119426481634,0.3,"{""asks"":[[0.73479,98.0],[0.73488,30.0],[0.73489,30.0],[0.73505,451.0],[0.73506,104.0],[0.73515,8.0],[0.73536,58.0],[0.73537,104.0],[0.73544,28.0],[0.73547,9.0]],""bids"":[[0.73369,122.0],[0.73363,39.0],[0.73361,222.0],[0.73341,47.0],[0.73335,32.0],[0.73333,68.0],[0.73328,20.0],[0.73324,68.0],[0.73323,37.0],[0.73322,67.0]]}",529.57,676.28,-0.121666,14.98,0.73361,162.86,0.73505,331.51,0.71838,0.7177,0.72213,2026-04-30T22:02:02.026827+00:00,2026-04-30T22:17:02.008895+00:00,2026-04-30T22:47:01.983328+00:00,0.7128,0.7364,1.0,True,False,tp_hit,419,,,,,,,,,,,,,
10,UBUSDT,overheated,score_dropped,2026-04-30T21:51:28.907531+00:00,2026-04-30T21:51:28.907533+00:00,0.06955,0.06964,0.12940330697339017,48.53243014656393,44.8,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,68.54094253895941,1.1720138451018751,2.1652673766972033,0.4034403938229785,43.0,0.7576417107406643,1.0,20.37108421458219,0.057496047146756324,0.0,0.5937500000000068,5e-05,64.20405170124235,18.0,-0.0,0.7827586206896552,0.46092348370730796,0.0,1.3405216377677462,3.1713100177830515,0.057496047146756324,20.37108421458219,0.05255494350670077,5e-05,0.10898205538931048,-1.0,"{""asks"":[[0.06961,730.0],[0.06963,180.0],[0.06964,390.0],[0.06965,1580.0],[0.06966,650.0],[0.06967,510.0],[0.06968,6060.0],[0.06969,510.0],[0.0697,590.0],[0.06971,1860.0]],""bids"":[[0.0696,1000.0],[0.06958,90.0],[0.06957,510.0],[0.06956,5650.0],[0.06955,510.0],[0.06954,590.0],[0.06953,510.0],[0.06952,1470.0],[0.06951,510.0],[0.0695,1240.0]]}",840.14,909.95,-0.03989,1.44,0.06956,393.01,0.06968,422.26,0.06989,0.07198,0.07236,2026-04-30T22:06:58.899284+00:00,2026-04-30T22:21:58.879747+00:00,2026-04-30T22:51:58.876998+00:00,0.06955,0.07254,-1.0,False,True,sl_hit,,240,,,,,,,,,,,,
