id,symbol,signal_type,close_reason,signal_price,entry_price,price_change_at_entry,entry_ts,entry_delay_sec,leverage,tp_pct,sl_pct,tp_price,sl_price,score,entry_score,min_score_at_entry,entry_mode,triggered_count,status,exit_price,exit_ts,pnl_pct,ml_label,price_15m,price_30m,price_60m,price_15m_ts,price_30m_ts,price_60m_ts,f_rsi_5m,f_large_sell_cluster,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,ml_proba_at_signal
1,CLUSDT,overheated,sl_hit,101.197,101.069,-0.12648596302261936,2026-05-03T16:57:23.887523+00:00,30,10,10.0,10.0,100.05831,102.07969,45.026806654842886,50.0,45.0,direct,6,closed,102.081,2026-05-03T18:32:04.279455+00:00,-10.012961442183066,0,101.243,101.164,101.383,2026-05-03T17:12:25.486667+00:00,2026-05-03T17:27:26.654929+00:00,2026-05-03T17:57:27.907751+00:00,55.36819576097557,38.0,73.40178883678965,0.2002106995140817,2.3660298204782233,0.3053720579194864,61.0,-0.17699303534214295,0.0,-0.16494310430668005,0.0009860814601941345,0.0,0.19999999999982948,0.0,0.0,0.3500456150093299,0.21345982804625774,0.0009860814601941345,-0.16494310430668005,-0.07840904614187728,-0.00251185,2.871940275612419,1.0,-0.0,0.5918160338064282,0.12759164364819853,"{""asks"":[[101.04,0.06],[101.052,0.06],[101.06,2.17],[101.062,4.76],[101.064,0.06],[101.072,5.64],[101.075,1.66],[101.076,0.06],[101.079,2.49],[101.08,5.9]],""bids"":[[101.014,11.53],[101.013,7.18],[101.01,8.52],[101.008,2.17],[101.007,25.8],[101.004,14.83],[100.999,2.17],[100.998,0.26],[100.996,7.5],[100.994,8.25]]}",8909.73,2310.5,0.588155,2.57,101.007,2605.98,101.091,1085.72,-0.8586545350230466,0.123994232631054,2.797032788855843,0.0,3.970745324972041,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,
2,FIGHTUSDT,overheated,tp_hit,0.004689,0.004688,-0.02132650885048551,2026-05-03T17:03:22.404021+00:00,30,10,10.0,10.0,0.00464112,0.00473488,47.28781478592153,47.3,45.0,direct,7,closed,0.004641,2026-05-03T17:16:03.658911+00:00,10.025597269624608,1,,,,,,,65.97027403813257,1.0,73.36108011486978,0.5099744111558467,8.40726553748007,0.7995544459012494,14.0,1.0556607377034186,2.0,-4.534979928468698,0.06344506714601947,0.0,0.25925925925926047,0.00050957,0.0,0.925527335342222,2.278645833333335,0.06344506714601947,-4.534979928468698,0.08458041753472886,0.00050957,-0.02624380343304337,-1.0,-0.0,0.7857142857142857,0.30478778480558405,"{""asks"":[[0.004728,7490.0],[0.004729,5390.0],[0.00473,21140.0],[0.004731,12000.0],[0.004732,7780.0],[0.004733,33130.0],[0.004734,32060.0],[0.004735,38370.0],[0.004736,12000.0],[0.004737,6610.0]],""bids"":[[0.004723,11460.0],[0.004722,5390.0],[0.004721,14920.0],[0.00472,5390.0],[0.004719,38830.0],[0.004718,54620.0],[0.004717,53520.0],[0.004716,22340.0],[0.004715,32320.0],[0.004714,38980.0]]}",1310.34,832.88,0.222776,10.58,0.004708,520.7,0.004741,433.42,1.277469765198773,-0.32531765979057525,2.965363511496176,0.0,-0.3103497187446285,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,79.51018969854421,0.3424432160474248,0.5,
3,AIXBTUSDT,early_warning,sl_hit,0.033577,0.033577,0.0,2026-05-03T17:14:46.677046+00:00,30,10,10.0,10.0,0.033241230000000004,0.03391277,48.044865518636854,48.0,45.0,direct,8,closed,0.033924,2026-05-03T17:19:53.476393+00:00,-10.334455132977933,0,,,,,,,63.73069447246145,34.0,72.41280993439702,0.5963179443386366,0.0,0.0,5.0,-0.11315395611621926,0.0,3.341557421556835,0.005946540599991263,0.0,35.00000000020817,0.0,0.0,0.3526704324695898,0.987297573896821,0.005946540599991263,3.341557421556835,0.08458041753472886,-4.129e-05,1.3107571069007218,-0.3,1.0,0.7387096774193549,0.18148992829724572,"{""asks"":[[0.033548,1480.0],[0.03355,120.0],[0.033551,79000.0],[0.033557,730.0],[0.033558,730.0],[0.033559,730.0],[0.03356,730.0],[0.033561,730.0],[0.033562,2600.0],[0.033563,730.0]],""bids"":[[0.033543,750.0],[0.033541,150.0],[0.03354,1390.0],[0.033537,730.0],[0.033535,730.0],[0.033533,730.0],[0.033532,730.0],[0.033531,390.0],[0.03353,400.0],[0.033529,3050.0]]}",303.48,2938.46,-0.812778,1.49,0.033527,545.82,0.033551,2650.53,-0.36651801560051406,0.02143130832297848,1.929726783386465,0.0,3.203194827081697,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,79.18575395249631,0.3424432160474248,0.5,
4,ORDIUSDT,overheated,sl_hit,5.212,5.215,0.05755947812740049,2026-05-03T17:20:30.188426+00:00,30,10,10.0,10.0,5.16285,5.26715,49.41218738031231,45.2,45.0,direct,7,closed,5.271,2026-05-03T17:39:06.671148+00:00,-10.738255033557056,0,5.244,,,2026-05-03T17:35:31.582237+00:00,,,72.35225028789476,36.0,72.61460805293314,0.5443580985489596,1.417984968123587,0.0,54.0,-0.3194521691200679,0.0,-0.36358997480254884,0.019192016121299952,0.0,0.22222222222230995,5e-05,0.0,0.6760672203979167,1.5426674477641031,0.019192016121299952,-0.36358997480254884,-0.042844193340476115,5e-05,-0.021477581101775466,-1.0,1.0,0.637450652095394,0.18718953692246765,"{""asks"":[[5.215,14.23],[5.216,516.46],[5.217,626.19],[5.218,579.82],[5.219,741.2],[5.22,611.56],[5.221,595.79],[5.222,679.14],[5.223,724.21],[5.224,883.14]],""bids"":[[5.214,61.4],[5.213,609.99],[5.212,457.31],[5.211,639.84],[5.21,718.32],[5.209,601.7],[5.208,856.33],[5.207,860.17],[5.206,509.84],[5.205,841.39]]}",32066.76,31174.23,0.014113,1.92,5.195,7653.01,5.229,9346.79,-2.707575764108146,-0.5399588441666626,-1.4771048208739188,0.0,0.0606900956063131,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,79.16158355302375,0.3424432160474248,1.0,
5,STRKUSDT,overheated,sl_hit,0.03878,0.0388,0.05157297576069929,2026-05-03T17:21:36.145166+00:00,30,10,10.0,10.0,0.038412,0.039188,46.42228434770704,47.0,45.0,direct,7,closed,0.03919,2026-05-03T22:43:45.765781+00:00,-10.051546391752614,0,0.03878,0.03875,0.03861,2026-05-03T17:36:37.165010+00:00,2026-05-03T17:51:37.675804+00:00,2026-05-03T18:21:38.979918+00:00,62.7431499238711,0.0,79.89489406772277,0.2845200338552349,3.0118959340077276,0.5069719147783909,5.0,-0.051743640770310115,7.0,-0.08053596592787528,0.025783163594163012,0.0,1.999999999999306,5e-05,0.0,0.3882992492881292,0.62240663900416,0.025783163594163012,-0.08053596592787528,-0.042844193340476115,5e-05,0.13803030764149773,-1.0,-0.0,0.7923076923076924,0.0571078465745149,"{""asks"":[[0.0388,22334.0],[0.03881,138482.9],[0.03882,185644.2],[0.03883,123581.1],[0.03884,153764.4],[0.03885,173475.5],[0.03886,184035.3],[0.03887,168793.0],[0.03888,255084.2],[0.03889,155942.9]],""bids"":[[0.03879,587.8],[0.03878,163392.6],[0.03877,103416.8],[0.03876,100319.6],[0.03875,114518.2],[0.03874,131925.4],[0.03873,101830.4],[0.03872,99957.2],[0.03871,131570.0],[0.0387,128114.4]]}",41670.73,60653.06,-0.185512,2.58,0.03861,14617.1,0.03899,10910.85,-0.1750211169128435,0.006853687735924966,2.639525743497779,0.0,1.055887321472973,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,79.14695512189685,0.3424432160474248,0.5,
6,POPCATUSDT,overheated,tp_hit,0.06102,0.06095,-0.11471648639790336,2026-05-03T17:21:37.129326+00:00,30,10,10.0,10.0,0.0603405,0.061559499999999996,49.99295920738611,47.7,45.0,direct,8,closed,0.06034,2026-05-03T20:49:40.287278+00:00,10.00820344544708,1,0.06109,0.06102,0.06084,2026-05-03T17:36:38.819114+00:00,2026-05-03T17:51:39.951883+00:00,2026-05-03T18:21:38.995972+00:00,61.07278961314463,5.0,75.85893118640351,0.30173212328104954,1.6727406995974736,0.36087029389462333,9.0,-0.010035907387531254,5.0,,0.0327761389708279,0.0,2.2500000000000866,5e-05,0.0,0.5271828665568383,1.0439105219552587,0.0327761389708279,,-0.042844193340476115,5e-05,0.1011538988979772,-1.0,-0.0,0.7947368421052632,0.09962058814009704,"{""asks"":[[0.06096,27.0],[0.06097,6761.0],[0.06098,15734.0],[0.06099,14414.0],[0.061,11385.0],[0.06101,12797.0],[0.06102,17558.0],[0.06103,13577.0],[0.06104,15628.0],[0.06105,13805.0]],""bids"":[[0.06094,1483.0],[0.06093,3624.0],[0.06092,22504.0],[0.06091,14034.0],[0.0609,13536.0],[0.06089,14202.0],[0.06088,14626.0],[0.06087,26765.0],[0.06086,23142.0],[0.06085,24640.0]]}",9653.42,7424.39,0.130523,3.28,0.06075,5910.49,0.06112,5412.18,0.39894753173634195,0.03651646640676632,-0.19071891189787477,0.0,1.4926701014268076,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,79.14695512189685,0.3424432160474248,0.5,
7,GENIUSUSDT,overheated,sl_hit,0.6011,0.6009,-0.03327233405423024,2026-05-03T17:39:24.893227+00:00,30,10,10.0,10.0,0.594891,0.606909,50.79514442754967,45.6,45.0,direct,8,closed,0.607,2026-05-03T17:56:41.032944+00:00,-10.15143950740555,0,0.6028,,,2026-05-03T17:54:25.941091+00:00,,,60.960303999637624,5.0,69.34588047495907,0.4421733576728505,2.925977146541317,0.6210220004041588,30.0,-0.13383776855267857,7.0,-11.487957589405347,0.01663755095249796,0.0,12.00000000000111,5e-05,8731763.9042,0.7036354498240881,1.5524805939925728,0.01663755095249796,-11.487957589405347,-0.046890487203591354,5e-05,-0.18596721980797115,-0.3,-0.0,0.7613636363636364,0.23441922083196998,"{""asks"":[[0.6015,170.0],[0.6017,308.0],[0.6018,231.0],[0.6019,1290.0],[0.602,59.0],[0.6021,263.0],[0.6022,182.0],[0.6023,318.0],[0.6024,662.0],[0.6025,782.0]],""bids"":[[0.6014,10.0],[0.6013,711.0],[0.6012,332.0],[0.6011,653.0],[0.601,429.0],[0.6009,207.0],[0.6008,417.0],[0.6007,207.0],[0.6006,812.0],[0.6005,301.0]]}",2451.19,2567.99,-0.023272,1.66,0.5995,772.76,0.6028,821.62,0.33016164578629725,1.6301807237617414,-0.19224378277574092,1.5890754253193613,-1.3010642713510656,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,78.92054725349863,0.3424432160474248,0.5,
8,HUSDT,overheated,sl_hit,0.1957,0.1957,0.0,2026-05-03T17:48:48.162159+00:00,30,10,10.0,10.0,0.193743,0.19765700000000003,52.112674248466284,52.1,45.0,direct,7,closed,0.19766,2026-05-03T18:04:19.742324+00:00,-10.015329586101121,0,0.19749,,,2026-05-03T18:03:49.713173+00:00,,,69.64137130979256,18.0,79.19902942155639,0.4430940858278171,2.446475552759079,0.08988619985335994,8.0,0.21826944859724376,1.0,-43.09272743779877,0.005108687322797518,0.0,0.826923076923115,5e-05,0.0,0.5032867707477449,0.8818524057552417,0.005108687322797518,-43.09272743779877,-0.09901995632966029,5e-05,0.02157722558641331,0.3,-0.0,0.796,0.10292486433881656,"{""asks"":[[0.19613,200.0],[0.19614,520.0],[0.19615,260.0],[0.19616,410.0],[0.19617,830.0],[0.19618,480.0],[0.19619,1120.0],[0.1962,610.0],[0.19621,2440.0],[0.19622,2740.0]],""bids"":[[0.19611,30.0],[0.19607,330.0],[0.19606,400.0],[0.19605,700.0],[0.19604,670.0],[0.19603,800.0],[0.19602,400.0],[0.19601,940.0],[0.196,500.0],[0.19599,720.0]]}",1076.19,1885.44,-0.273247,1.02,0.1959,1302.73,0.1963,1285.77,-1.0095905321748022,-1.8359986931132668,-1.2199962757433533,0.0,1.1889049126365454,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,78.92054725349863,0.3424432160474248,0.3333333333333333,
9,ACHUSDT,overheated,tp_hit,0.008147,0.008155,0.09819565484228626,2026-05-03T17:53:29.653438+00:00,30,10,10.0,10.0,0.008073450000000001,0.00823655,50.0,46.5,45.0,direct,7,closed,0.008068,2026-05-03T18:25:44.106165+00:00,10.668301655426152,1,0.008134,0.008102,,2026-05-03T18:08:33.678443+00:00,2026-05-03T18:23:34.020061+00:00,,72.01159762844348,8.0,70.24298730241183,0.6134084469088007,0.03352058934762234,0.0,14.0,0.09759051455309854,2.0,5.458049367373156,0.012261663907783282,0.0,0.0,5e-05,0.0,0.729475766567755,2.6931789579662806,0.012261663907783282,5.458049367373156,-0.09901995632966029,5e-05,2.8578060255291637,-0.3,1.0,0.7368098159509202,0.191209752845899,"{""asks"":[[0.008161,87880.0],[0.008164,10000.0],[0.008165,58660.0],[0.008166,3960.0],[0.008167,64310.0],[0.008168,12960.0],[0.008169,82230.0],[0.00817,16160.0],[0.008171,70590.0],[0.008172,10160.0]],""bids"":[[0.008156,1350.0],[0.008155,6040.0],[0.008154,12830.0],[0.008153,15840.0],[0.008152,11000.0],[0.008151,9460.0],[0.00815,37860.0],[0.008149,90490.0],[0.008148,12480.0],[0.008147,11050.0]]}",1698.48,3404.78,-0.334355,6.13,0.008149,737.4,0.008182,832.68,-1.1917878151641006,-0.2860437850564576,2.4209049344739726,0.0,2.8243856163234917,0.18481722073621934,-0.00038152648748009436,-0.5922057183831727,78.92054725349863,0.3424432160474248,0.3333333333333333,
10,BUSDT,overheated,tp_hit,0.4244,0.42493,0.12488218661639372,2026-05-03T18:06:10.536280+00:00,30,10,10.0,10.0,0.42068069999999996,0.4291793,45.46478888411088,40.6,45.0,direct,7,closed,0.41948,2026-05-03T18:10:21.410408+00:00,12.825641870425613,1,,,,,,,58.68089961415949,30.0,69.72301127938425,1.4002068261930858,1.5479627211978388,0.5003786308695501,31.0,1.7247845249241434,1.0,-6.110253746784544,0.02355379687205318,0.0,0.16901408450704752,0.00026526,0.0,0.0,4.268995804607564,0.02355379687205318,-6.110253746784544,0.09415753152244956,0.00026526,0.0,-1.0,-1.0,0.5455084151675338,0.5844572117103068,"{""asks"":[[0.42255,2.0],[0.42279,47.0],[0.42282,41.0],[0.42284,66.0],[0.42285,37.0],[0.42287,35.0],[0.42288,47.0],[0.42289,37.0],[0.4229,47.0],[0.42293,47.0]],""bids"":[[0.42247,126.0],[0.42231,2475.0],[0.42229,99.0],[0.42223,78.0],[0.4222,84.0],[0.42217,350.0],[0.42216,84.0],[0.42215,78.0],[0.42213,125.0],[0.42212,37.0]]}",1493.19,171.68,0.79376,1.89,0.42201,8322.04,0.42301,213.62,0.0,0.0,0.0,0.0,0.0,0.39462209116461583,-0.00038152648748009436,-0.5922057183831727,70.24105182301739,0.33975637216876653,0.2,
