id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,price_15m,price_30m,price_60m,price_15m_ts,price_30m_ts,price_60m_ts,price_min_60m,price_max_60m,synthetic_pnl_pct,would_hit_tp,would_hit_sl,synthetic_close_reason,time_to_tp_sec,time_to_sl_sec,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,adverse_move_pct,ml_proba_at_signal
1,WLDUSDT,overheated,already_open,2026-05-03T16:48:59.674172+00:00,2026-05-03T16:48:59.674176+00:00,0.2403,0.2403,0.0,51.40757387478488,51.40757387478488,45.0,shadow,7,30,24,5,0.2,0.8,-0.3,69.25639332423133,0.13846850897985646,1.6360782431659833,0.0,11.0,0.00826049322751344,1.0,-0.037024273702551146,0.041623309053076686,0.0,0.0,0.0,70.35742114441544,9.0,1.0,0.6147920133111343,0.06709760113884894,0.0,0.04163197335554403,0.7121910347716829,0.041623309053076686,-0.037024273702551146,-0.07840904614187728,-0.00048256,0.03128342847719326,-0.3,"{""asks"":[[0.2403,7279.6],[0.2404,168959.3],[0.2405,173937.3],[0.2406,222857.8],[0.2407,209344.9],[0.2408,200460.2],[0.2409,136237.2],[0.241,140917.8],[0.2411,153884.2],[0.2412,148239.4]],""bids"":[[0.2402,82134.1],[0.2401,230159.8],[0.24,196305.4],[0.2399,205759.4],[0.2398,243373.8],[0.2397,193697.7],[0.2396,174459.6],[0.2395,108236.9],[0.2394,245528.3],[0.2393,478608.5]]}",517289.08,376116.3,0.158016,4.16,0.2392,135128.17,0.2415,141236.71,0.2392,0.2404,0.2395,2026-05-03T17:03:59.929877+00:00,2026-05-03T17:18:59.964559+00:00,2026-05-03T17:49:00.007068+00:00,0.2392,0.2405,0.3329171868497806,False,False,expired_60m,,,-1.660855129700411,0.795483030757847,1.1911433386027606,0.0,0.7220065254657381,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.35,,
2,LABUSDT,early_warning,signal_type_filtered,2026-05-03T16:51:24.853422+00:00,2026-05-03T16:51:24.853424+00:00,1.77574,1.77574,0.0,46.773139066251325,46.773139066251325,50.0,shadow,7,60,24,5,0.2,0.8,-0.3,69.41228967374029,3.0993746449099944,0.0,0.545194874095327,49.0,-1.8478216574844408,0.0,10.18814921228585,0.08277702852991153,0.0,0.23977591036413473,0.00116108,75.73139734361156,51.0,-1.0,0.6220882296221589,1.8205174185139357,743541997.8807,0.0,27.115219656744248,0.08277702852991153,10.18814921228585,-0.07840904614187728,0.00116108,0.24413595123138712,-1.0,"{""asks"":[[1.77659,27.0],[1.77686,27.0],[1.77715,26.0],[1.77716,29.0],[1.77717,27.0],[1.77742,27.0],[1.77769,56.0],[1.7777,125.0],[1.77774,27.0],[1.77775,29.0]],""bids"":[[1.77512,35.0],[1.77511,79.0],[1.77476,16.0],[1.77472,4.0],[1.77443,31.0],[1.77442,17.0],[1.77438,32.0],[1.77437,17.0],[1.77435,1.0],[1.77431,15.0]]}",438.36,710.98,-0.237191,8.28,1.77511,140.23,1.7777,222.21,1.71768,1.84628,1.93858,2026-05-03T17:06:54.861733+00:00,2026-05-03T17:21:54.852062+00:00,2026-05-03T17:51:54.840467+00:00,1.67776,1.93858,-1.0,True,True,sl_hit,119,59,-0.46044918263848056,-0.5417384006548331,0.10685530748202311,-1.1300607761432455,0.21066636544748996,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
3,CRVUSDT,overheated,score_dropped,2026-05-03T16:52:57.186518+00:00,2026-05-03T16:52:57.186521+00:00,0.2345,0.2346,0.04264392324094531,45.97348989612486,36.0,50.0,after_monitor,7,60,24,5,0.2,0.8,-0.3,63.294369803791405,0.0351108027475662,10.56928824605764,0.0,8.0,0.051209105912748784,1.0,-0.32669343412872237,0.042634832658288956,0.0,0.0,2.448e-05,49.67505165830695,11.0,1.0,0.48000000000000004,0.04462732374518168,0.0,0.04266211604095093,0.25662959794695867,0.042634832658288956,-0.32669343412872237,-0.07840904614187728,2.448e-05,0.2536463501296381,1.0,"{""asks"":[[0.2346,14594.5],[0.2347,100751.8],[0.2348,84626.3],[0.2349,82319.9],[0.235,137490.1],[0.2351,154336.5],[0.2352,94244.9],[0.2353,74297.1],[0.2354,312156.8],[0.2355,95710.5]],""bids"":[[0.2345,9535.9],[0.2344,96621.6],[0.2343,113298.4],[0.2342,82171.6],[0.2341,138178.2],[0.234,149933.4],[0.2339,104468.9],[0.2338,47335.0],[0.2337,86251.7],[0.2336,108806.7]]}",219183.07,270542.24,-0.104873,4.26,0.2335,109493.8,0.2362,77529.06,0.2342,0.2349,0.235,2026-05-03T17:08:27.199908+00:00,2026-05-03T17:22:57.215703+00:00,2026-05-03T17:52:57.901140+00:00,0.2338,0.2358,-0.21321961620469104,False,False,expired_60m,,,-1.8318808183547488,-0.03488234403076126,-2.1784666422889156,0.0,3.812217939721749,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
4,IPUSDT,overheated,score_dropped,2026-05-03T16:53:19.167541+00:00,2026-05-03T16:53:19.167544+00:00,0.4977,0.4981,0.08036970062286748,52.19353405116163,46.1,50.0,after_monitor,8,60,24,5,0.2,0.8,-0.3,76.5980109306447,0.10069988530268198,2.7905959798913167,0.42427910798231666,15.0,-0.06438636678511386,0.0,0.057510120716962224,0.02007427481682003,0.0,0.0,5e-05,73.7301760122222,5.0,-0.0,0.7638297872340425,0.05527568100968576,0.0,0.2215062424486488,0.9937132427499525,0.02007427481682003,0.057510120716962224,-0.07840904614187728,5e-05,0.05959544080752165,-1.0,"{""asks"":[[0.4982,841.9],[0.4983,3082.3],[0.4984,5776.0],[0.4985,12358.0],[0.4986,8784.9],[0.4987,4294.6],[0.4988,4994.0],[0.4989,8991.3],[0.499,11646.3],[0.4991,7237.5]],""bids"":[[0.4981,303.3],[0.498,7734.8],[0.4979,7687.0],[0.4978,4321.2],[0.4977,7001.4],[0.4976,12134.1],[0.4975,11645.2],[0.4974,4279.4],[0.4973,7541.9],[0.4972,7210.4]]}",34761.64,33916.94,0.012299,2.01,0.4967,10274.14,0.4998,7320.47,0.4973,0.4978,0.5013,2026-05-03T17:08:49.186825+00:00,2026-05-03T17:23:49.176175+00:00,2026-05-03T17:53:19.566718+00:00,0.4966,0.5023,-0.7233273056057851,False,False,expired_60m,,,-0.1748040930219762,0.03567424748445956,1.1610294337802534,0.0,1.3960924168056301,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
5,ORCAUSDT,early_warning,score_dropped,2026-05-03T16:56:05.870163+00:00,2026-05-03T16:56:05.870166+00:00,2.09,2.0898,-0.009569377990429569,45.92327410101181,39.6,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,70.39692245054553,0.3700043016363705,0.1805784078974234,0.0,44.0,0.022894551471864644,2.0,2.028281105665238,0.004791681640681906,0.0,0.3125000000001388,0.0,62.31799843410184,47.0,1.0,0.7078247474823589,0.11458416483576635,0.0,0.5291005291005135,0.7141823095111783,0.004791681640681906,2.028281105665238,-0.07840904614187728,-0.00034881,0.189258730593216,-0.3,"{""asks"":[[2.0857,10.4],[2.0858,3.6],[2.0859,107.5],[2.086,8.6],[2.0861,18.0],[2.0862,58.5],[2.0863,61.2],[2.0864,266.9],[2.0865,527.4],[2.0866,159.2]],""bids"":[[2.0856,852.4],[2.0854,5.0],[2.0853,115.6],[2.0852,103.9],[2.0851,23.1],[2.085,318.1],[2.0849,118.2],[2.0848,32.7],[2.0847,92.9],[2.0846,237.1]]}",3959.85,2548.12,0.216924,0.48,2.0856,1777.77,2.0875,2051.8,2.0913,2.0952,2.1058,2026-05-03T17:11:06.357526+00:00,2026-05-03T17:26:06.404759+00:00,2026-05-03T17:56:06.379975+00:00,2.0833,2.1104,-0.7559808612440209,False,False,expired_60m,,,-0.14375253651559147,-0.2055085750432488,-0.9665818658736983,0.0,1.7647405718163134,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
6,ORCAUSDT,overheated,pending_duplicate,2026-05-03T16:56:08.729879+00:00,2026-05-03T16:56:08.729882+00:00,2.0859,2.0859,0.0,53.40873221244758,53.40873221244758,45.0,shadow,8,30,24,5,0.2,0.8,-0.3,70.39692245054553,0.3700043016363705,1.8571939661660948,0.0,46.0,0.022894551471864644,2.0,17.820707062013017,0.0047939787626629085,0.0,0.3125000000001388,0.0,62.31799843410184,54.0,1.0,0.7033317172799028,0.11458416483576635,34417462.2786,0.3125901702414134,0.7141823095111783,0.0047939787626629085,17.820707062013017,-0.07840904614187728,-0.00034881,0.189258730593216,-0.3,"{""asks"":[[2.086,5.0],[2.0861,2.5],[2.0862,3.6],[2.0863,5.0],[2.0864,11.3],[2.0865,5.0],[2.0866,158.1],[2.0867,324.3],[2.0868,100.9],[2.0869,146.8]],""bids"":[[2.0859,505.4],[2.0858,177.4],[2.0857,192.9],[2.0856,184.1],[2.0855,205.4],[2.0854,145.5],[2.0853,56.4],[2.0852,73.9],[2.0851,142.6],[2.085,531.7]]}",4619.95,1591.12,0.48765,0.48,2.0842,1855.15,2.0878,1351.22,2.0941,2.0945,2.1058,2026-05-03T17:11:38.801927+00:00,2026-05-03T17:26:38.820303+00:00,2026-05-03T17:56:08.835073+00:00,2.0833,2.1104,-1.0,False,True,sl_hit,,2910,-0.13612772859695446,0.7337058172289943,-0.9318620684984731,-1.1666799771269776,1.6887117916437637,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
7,XPLUSDT,overheated,score_dropped,2026-05-03T16:57:34.600669+00:00,2026-05-03T16:57:34.600672+00:00,0.09,0.09004,0.044444444444442635,45.96445430285424,43.6,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,69.43352624545776,0.0028047960606996172,2.68774180103477,0.4829052242219043,14.0,0.017824817406967893,1.0,0.18850289755577315,0.011138958507375243,0.0,0.0,5e-05,63.02716695637588,5.0,-0.0,0.796,0.06700122452253075,0.0,0.23387905111928042,0.8313672621053709,0.011138958507375243,0.18850289755577315,-0.07840904614187728,5e-05,-0.002259364979860017,1.0,"{""asks"":[[0.09006,123.0],[0.09007,3053.0],[0.09008,11710.0],[0.09009,10874.0],[0.0901,13053.0],[0.09011,19732.0],[0.09012,31647.0],[0.09013,44107.0],[0.09014,17683.0],[0.09015,28403.0]],""bids"":[[0.09005,16378.0],[0.09004,15299.0],[0.09003,29305.0],[0.09002,13031.0],[0.09001,23885.0],[0.09,53585.0],[0.08999,35010.0],[0.08998,39319.0],[0.08997,73982.0],[0.08996,31252.0]]}",29792.34,16256.53,0.293945,1.11,0.08995,7586.29,0.09018,9512.01,0.09049,0.09057,0.09025,2026-05-03T17:12:34.620018+00:00,2026-05-03T17:27:34.614730+00:00,2026-05-03T17:58:04.613876+00:00,0.08978,0.0908,-0.27777777777777807,False,False,expired_60m,,,-1.7217526184930148,-0.1248484940905917,0.5918783295207535,0.0,-0.612488766520365,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
8,BRUSDT,early_warning,score_dropped,2026-05-03T16:58:07.064339+00:00,2026-05-03T16:58:07.064342+00:00,0.19705,0.1975,0.2283684344075138,48.85138304851954,40.3,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,72.95573205359858,0.9867697888442017,1.201337518315625,0.306708900382768,50.0,-0.5721020636640173,4.0,-43.82589451765792,0.005075755653127935,0.0,3.285714285713323,5e-05,72.24977980836898,29.0,-0.0,0.7911764705882354,0.45194588155485005,16985457.7473,1.0875698968860672,3.7044810578234917,0.005075755653127935,-43.82589451765792,-0.07840904614187728,5e-05,-0.6850037310692486,-1.0,"{""asks"":[[0.19728,331.0],[0.19733,370.0],[0.19734,258.0],[0.19735,270.0],[0.19736,452.0],[0.19737,12526.0],[0.1974,28.0],[0.19746,28.0],[0.1975,269.0],[0.19752,33.0]],""bids"":[[0.19717,265.0],[0.19716,28.0],[0.19712,64.0],[0.19711,1673.0],[0.1971,31.0],[0.19704,28.0],[0.197,58.0],[0.19699,310.0],[0.19698,28.0],[0.19697,53.0]]}",500.23,2874.68,-0.703561,5.58,0.1969,636.58,0.19737,2472.26,0.19567,0.19332,0.19002,2026-05-03T17:13:07.092428+00:00,2026-05-03T17:28:07.078338+00:00,2026-05-03T17:58:37.066888+00:00,0.18915,0.19761,1.0,True,False,tp_hit,840,,-0.4491919141228957,-1.5331511891734628,2.2267268280870876,-1.2833907010186727,-2.509123317762469,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
9,PENDLEUSDT,early_warning,score_dropped,2026-05-03T16:58:39.917533+00:00,2026-05-03T16:58:39.917536+00:00,1.5775,1.5776,0.006339144215530205,48.11040290709157,34.7,45.0,after_monitor,7,30,24,5,0.2,0.8,-0.3,71.22948859821182,0.1226121400406842,1.3202310393055776,0.0,13.0,-0.04816417476734457,0.0,-38.09963193967123,0.0063389432981515,0.0,13.333333333334814,0.0001,55.812684515032664,15.0,1.0,0.7542986425339366,0.0926248806275459,0.0,0.019021049961955805,0.3687221869040068,0.0063389432981515,-38.09963193967123,-0.07840904614187728,0.0001,-0.08943048894987468,-1.0,"{""asks"":[[1.5791,311.0],[1.5792,38.0],[1.5793,8.0],[1.5794,13.0],[1.5795,238.0],[1.5796,197.0],[1.5797,142.0],[1.5798,147.0],[1.5799,225.0],[1.58,312.0]],""bids"":[[1.579,184.0],[1.5789,404.0],[1.5788,1298.0],[1.5787,278.0],[1.5786,191.0],[1.5785,146.0],[1.5784,233.0],[1.5783,318.0],[1.5782,188.0],[1.5781,221.0]]}",5463.67,2576.36,0.359117,0.63,1.5771,2755.19,1.5807,1986.94,1.5823,1.5757,1.5807,2026-05-03T17:13:39.947148+00:00,2026-05-03T17:28:39.995732+00:00,2026-05-03T17:58:40.242445+00:00,1.5713,1.5823,-0.20285261489699472,False,False,expired_60m,,,-0.0930176133835296,-3.734783427339222,-0.6503792344705983,0.0,-0.5013725979148407,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
10,BRUSDT,overheated,score_dropped,2026-05-03T16:59:11.874407+00:00,2026-05-03T16:59:11.874409+00:00,0.19693,0.19701,0.04062357182755128,50.17241302138971,42.4,45.0,after_monitor,8,30,24,5,0.2,0.8,-0.3,72.95573205359858,0.9867697888442017,0.8960932943488134,0.44078458012327126,45.0,-0.5721020636640173,4.0,-58.36262772998455,0.02532350781229937,0.0,3.285714285713323,5e-05,72.24977980836898,14.0,-0.0,0.7558139534883721,0.45194588155485005,0.0,0.6182301246678872,3.7044810578234917,0.02532350781229937,-58.36262772998455,-0.07840904614187728,5e-05,-0.6850037310692486,-1.0,"{""asks"":[[0.1971,31.0],[0.19716,28.0],[0.19722,28.0],[0.19728,82.0],[0.19731,240.0],[0.19733,772.0],[0.19734,28.0],[0.19736,48.0],[0.19739,3.0],[0.1974,29.0]],""bids"":[[0.19709,80.0],[0.19706,41.0],[0.19703,276.0],[0.197,40.0],[0.19699,48.0],[0.19698,269.0],[0.19697,1718.0],[0.19696,205.0],[0.19695,50.0],[0.19694,40.0]]}",545.05,254.34,0.363665,0.51,0.19697,338.39,0.19755,331.49,0.1949,0.19427,0.19007,2026-05-03T17:14:12.101118+00:00,2026-05-03T17:29:12.123293+00:00,2026-05-03T17:59:12.111700+00:00,0.1892,0.19761,1.0,True,False,tp_hit,780,,-0.4348797136761776,-0.26508211811972193,2.0264025692127934,0.0,-2.2342416893969945,0.1833320407703977,-0.00038152648748009436,-0.5922057183831727,82.5673750518459,0.3707626926337622,0.5,,
