id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
3,TESTUSDT,auto,timeout,2026-04-13 11:58:00.141971+00,2026-04-13 11:58:00.141971+00,1.2345,1.2,-2.8,60,55,55,direct,,60,24,5,0.2,0.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HUMAUSDT,overheated,score_dropped,2026-04-13 14:15:39.303871+00,2026-04-13 14:15:39.303874+00,0.018146,0.018017,-0.7109004739336529,47.330355052456476,40.7,45,direct,6,30,24,5,0.2,0.8,-0.3,84.26336749714885,1.3572563674961973,2.3582896082595157,0,13,0.4802659164943362,3,0,0,0,0,5e-05,79.60605679455165,10,-0,0.7020849432519292,0.25057277684906953,3489635.0753,0,4.381205264373119,0,0,0.04749658094465111,5e-05,0,-1
5,ENJUSDT,overheated,score_dropped,2026-04-13 14:25:50.003162+00,2026-04-13 14:25:50.003169+00,0.043361,0.044416,2.433061968128042,45.45284636583849,42.1,45,direct,7,30,24,5,0.2,0.8,-0.3,78.47472586745486,2.56706205728038,0.7727282329697652,0.11190508355287325,57,-0.047288162464218686,5,0,0,0,0.693779904306214,0,74.1598174954121,43,-1,0.786283185840708,0.5256464156092784,82780939.8822,0,8.028924074304951,0,0,0.12687550533382336,-0.00118685,3.4194868294841787,-1
6,YBUSDT,overheated,score_dropped,2026-04-13 14:26:23.600645+00,2026-04-13 14:26:23.60065+00,0.11772,0.11781,0.07645259938837314,47.617224509257625,44.5,45,direct,7,30,24,5,0.2,0.8,-0.3,68.5167751858502,1.1017062660017434,6.4894588434224705,0.4328859040982757,40,1.5601098099566597,2,0,0,0,0.10695187165775727,5e-05,49.64125038547262,8,-0,0.7469879518072289,0.3473820307644546,0,1.3080895008605917,-0.9734810339040014,0,0,0.04556540942477978,5e-05,-0.005806075367030001,-0.3
7,GIGGLEUSDT,early_warning,score_dropped,2026-04-13 14:29:59.253729+00,2026-04-13 14:29:59.253733+00,43.1,43.19,0.20881670533641836,45.72441352921936,41.4,45,direct,6,30,24,5,0.2,0.8,-0.3,72.50260501755984,2.257118960526438,0.9212448888813037,0,34,-1.536638351454308,0,0,0,0,0.8750000000000222,0,74.07729989068827,66,-0,0.726448362720403,0.7825194727769966,20140796.8906,0,11.711478800413653,0,0,-0.06827034498163287,-0.00030243,1.2294648944608504,-1
8,KITEUSDT,early_warning,score_dropped,2026-04-13 14:31:48.066766+00,2026-04-13 14:31:48.066772+00,0.13448,0.13443,-0.03718024985127491,45.447793104814686,26.6,45,direct,7,30,24,5,0.2,0.8,-0.3,67.60663718300341,0.35332146518766505,0.18494808136235275,0,9,0.04010782048097308,3,0,0,0,4.571428571427439,5e-05,57.751736194372576,5,1,0.825925925925926,0.17636756532236436,8194037.5568,0.06696926854675124,1.4941140959855188,0,0,0.0347886345949837,5e-05,0.27745037941669887,-1
9,PIXELUSDT,early_warning,score_dropped,2026-04-13 14:31:58.954397+00,2026-04-13 14:31:58.954401+00,0.007317,0.007319,0.027333606669403657,46.36612400043978,28.7,45,direct,7,30,24,5,0.2,0.8,-0.3,66.33301531368323,0.5121018253415431,0,0,10,0.03493105266576378,3,0,0,0,0,5e-05,64.31526406719387,11,1,0.7189097864230434,0.19974847857537262,3465930.8674,0.12315270935959852,2.3626450440374773,0,0,0.0347886345949837,5e-05,0.10034027067717612,-0.3
10,TNSRUSDT,overheated,score_dropped,2026-04-13 14:32:20.444411+00,2026-04-13 14:32:20.444416+00,0.04007,0.04004,-0.07486897928625466,45.07442865427958,41.2,45,direct,7,30,24,5,0.2,0.8,-0.3,64.28487787631153,0.17214490919074749,2.057606734855628,0.5594918390375004,16,-0.24635257218608309,0,0,0,0,0,5e-05,62.95504962748271,8,-0,0.796,0.12479951445537392,2818049.2536,0.7290095525389607,0.479555779909126,0,0,0.0347886345949837,5e-05,0.011182223836949648,1
11,FFUSDT,overheated,score_dropped,2026-04-13 14:34:08.412423+00,2026-04-13 14:34:08.412427+00,0.07777,0.07785,0.10286742960009868,45.020995805715806,40.8,45,direct,7,30,24,5,0.2,0.8,-0.3,64.56941744800702,0.434065748519338,2.065253041851578,0.6024713428167124,29,0.07211747704727028,3,0,0,0,0,5e-05,62.346350984675595,6,-0,0.829245401864452,0.13656055135272063,0,0.6861729673744208,1.0158895545715068,0,0,-0.028204333414312013,5e-05,-0.005003742201507995,1
12,1000PEPEUSDT,early_warning,score_dropped,2026-04-13 14:35:36.190946+00,2026-04-13 14:35:36.19095+00,0.003545,0.003544,-0.02820874471086411,45.24702807531812,37.2,45,direct,7,30,24,5,0.2,0.8,-0.3,66.87762479312286,0.602277841172632,0,0,11,0.010966130290167492,7,0,0,0,0.25000000000005423,0,63.2931193918552,6,1,0.7741654899745805,0.196887270008552,63629393.3379,0.4818594104308415,1.5472779369627447,0,0,-0.10477836794089693,-0.00024943,0.5536863747648072,1
